Contract name,Contract description,Polarity
AEC DESIGN BUILD CONSUMER FINANCIAL PROTECTION BUREAU AT SUMMIT BUILDING (CFPB),"The US Postal Service (USPS) has a requirement to complete a security project at the Trenton, NJ Processing & Distribution Center (P&DC).

REQUIREMENTS
The U. S. Postal Service plans to complete a security project at the Trenton NJ P&DC located at 680 US Highway 130 in Trenton NJ
All work will be done in accordance with USPS approved specifications and drawings
Contractors must submit a Management Plan with their price proposal
Only the most qualified contractors will be considered
To be considered, a company must meet the following minimum requirements:
Contractors must be licensed, as required by the State, to perform the work as stated in this solicitation
USPS does not exempt suppliers from licensure for federal projects unless indicated otherwise in the solicitation
Contractors must have been in the construction business for a minimum of five years as of the date of this solicitation
There is no requirement that eligible contracting firms remained the identical entity for the five-year period, although legal entity changes (such as from a partnership to a corporation) that occurred during this five-year period should be clearly explained, and if key personnel were retained, this should also be clearly explained
Contractor must be capable of obtaining performance and payment bonds for 100% of the contract price
Contractors must provide their EMR rating on insurance company letterhead
If the EMR rating is greater than 1.0, the contractor must provide an explanation from its insurance company in order to be given further consideration for prequalification
Company must submit information for three comparable projects that have either been completed within the past five years or are currently ongoing
Comparable projects are defined as projects with similar scopes of work as the subject project and costs of $500,000 or more
The Qualification Statements will be evaluated in accordance with the criteria stated: experience/performance and capabilities
The price proposals for only the most highly qualified contractors will be considered
The Postal Service is more concerned with making an award at the lowest overall price than with obtaining superior technical or management features
However, the Postal Service may not necessarily make an award at the lowest price in order to achieve a small price savings if better value can be achieved with superior technical or management features
The benefits of a higher priced proposal may merit a higher price
The evaluation factors outlined in Section 2-26.2, of the Supplying Principles and Practices, listed in descending order of importance, will be used in the evaluation of proposals
Prequalified contractors will be placed on a list for inclusion in future solicitations in this area with similar scopes of work
There is no guarantee that a specific number of solicitations will be issued to these prequalified contractors ",0
SMRC_Volume1TechnicalApproach_EA-133W-18-RQ-0154,"The Department of the Air Force, United States Coast Guard has a requirement for Building 53 HVAC replacement at Elizabeth City, NC.

REQUIREMENTS
Provide all supervision, labor, equipment, parts and materials necessary to remove two existing split air to air heat pump units (5 tons and 3 tons), and refrigerant piping and the replacement thereof with two new split type air to air heat pump systems(5Tons and 3 Tons) including refrigerant piping
The Contractor shall NOT perform any “Hot Work” activities (i.e. burning, welding, cutting, brazing, soldering, using fire or spark producing tools, etc.), without prior approval by the COR and a “Hot Work” permit issued by the Base Fire Inspector.
The Contractor shall provide a detailed work schedule and a list of qualified & certified personnel who will be performing the work.
The Contractor shall follow industry best practices and perform all work IAW all Federal, EPA, OSHA, and State of North Carolina Codes, laws and regulations.
The Contractor shall install quantity (2) 4 inch diameter schedule 40 pipe bollards for each condensing unit, painted “Safety Yellow”, minimum of 42 inches high to protect the condensing units.
The Contractor shall install and maintain “yellow Safety tape” around the perimeter of the work area to warn away unauthorized access to the work site. 
The Contractor is shall remove any and all ceiling panels and grid work as necessary for the removal of the existing equipment and installation of the new equipment. The Contractor shall re-install any of the removed ceiling grid and ceiling tiles. The Contractor shall replace any damaged ceiling grid and ceiling tiles due from removal with in-like type to match the existing ceiling.
The Contractor shall install a new backup pan under each air handler equipped with a float switch and wired into the system control system to open the control circuit upon the switch closing due to water being in the pan.
The Contractor shall remove the existing refrigerant piping to each unit and install new insulated copper refrigerant piping with the gas piping being insulated with a closed cell foam insulation having a minimum wall thickness of ½ inch.
The Contractor shall remove the existing condensate piping from each air handler and install new PVC condensate drain piping from the equipment to the drainage point. The entire condensate drain piping shall be insulated along the entire length of the piping with ½ inch closed cell foam insulation. All insulation joints must be sealed. Each condensate pipe shall be independent to each unit and not connected to another system. The Contractor shall provide and install an electric condensate pump if necessary for each air handler if proper slope of ¼ inch per foot cannot be obtained by gravity. 
The Contractor shall install new 8 conductor 18 gauge copper thermostat control wire on each system, from the outdoor equipment to the air handlers and from the air handler to the wall mounted thermostat. 
The Contractor shall replace the existing thermostats with an electronic programmable type for each system
The Contractor shall install a factory made PVC trap for the condensate piping at each air handler.
The Contractor shall install an emergency switch that either attaches to the main condensate drain pan outlet (example: EZ Trap) or a separate switch that attaches to the overflow of the main drain pan. This switch shall be wired in series with the system control wiring to open the control circuit upon opening, thus cutting control power to the unit.
The Contractor shall provide new electrical whips from the electrical disconnect switches to each new equipment. All electrical wiring used shall be copper conductors.
The Contractor shall provide and install equipment that is designed for and uses 410A refrigerant.
The Contractor shall provide and install equipment that uses 24 volt AC electrical power for the control system.
The Contractor shall provide and install sheet metal transitions to connect the new equipment to the existing supply and return duct along with flexible connections.  
The Contractor shall seal and insulate with foil faced fiberglass type insulation with a rating of R-8 for all new duct transitions installed.
 The contractor shall provide an engraved 6 inch by 8 inch minimum, non-ferrous metal plaque that will be attached with rivets to the equipment. The plaque shall state the model and serial number, service start date and warranty end date of the installation and equipment warranty dates.
The Contractor shall handle all refrigerants in accordance with EPA regulations.
The Contractor supplied equipment shall be rated 14 seer minimum.
The Contractor shall remove all demolition materials, and equipment from the Base.
The Contractor shall provide all equipment documentation including warranty, installation, operation and maintenance manuals to the COR upon the project completion",0
to002 isso,"The Department of the Air Force, Air Force Global Strike Command, 20th Air Force, 341st Missile Wing, 341st Maintenance Group, 341st Contracting Squadron has a requirement to repair helicopter hangar at Building 1440.

REQUIREMENTS
Renovation of an existing 3-Bay Hangar to facilitate the bed down of the new MH-139 helicopter at Malmstrom AFB, MT
Work includes:
Removal and replacement of the AFFF fire suppression system with hi-expansion foam
Fire alarm upgrades
Installation of a fuel spill containment system, life safety changes
Hangar floor coating and painting
Additional roof fall protection points
A new 2-ton hangar width hoist
Installation of new electrical distribution to support helicopter maintenance
Mechanical systems upgrades to include the installation of a new chiller, chilled water pumps, heating water pumps, door track heating water pumps
Repairs to the Hangar door track heating loops
Upgrades to the existing mechanical rooms
New compressed air plant
Total replacement of building heating water piping throughout
New Hangar Bay heat recovery ventilators
New Air Handling Units for the entire building",0
AEC REPLACE THE HEATING VENTILATION AND AIR CONDITIONING SYSTEM AND VENTING AT THE MARBLE HALL IN THE US CUSTOM HOUSE NEW ORLEANS (HVAC),"The General Services Administration, Public Building Service, Region 7, has a requirement for construction service to replace the Heating, Ventilation and Air Conditioning (HVAC) System and venting in and around the Marble Hall in the U.S. Custom House.

REQUIREMENTS
The Work is defined by the Contract Document and consists of the following:

The primary intent of this project is to reduce the noise from the HVAC system in the historic Marble Hall
Work includes:
Removing HVAC equipment
Installing new HVAC ductwork and equipment and grilles
re-working the attic ventilation system
Selective Demolition work includes and is not limited to:
The removal of concrete masonry and other existing systems shown on drawings
New finish out work includes and is not limited to:
Interior HVAC grilles, ductwork, HVAC equipment, and HVAC controls",0
FORT RUCKER GROUNDS MAINTENANCE,"The Department of Defense (DoD), Joint Interagency Task Force South (JIATFS) Contracting Office may have a continuing requirement for requirement for performance of Facilities Maintenance and Support Services at the Truman Annex Key West, Florida.

PREVIOUS REQUIREMENTS:

This contract provides for facilities maintenance and support services to various buildings, activities, infrastructure and equipment located on JIATFS, Truman Annex Key West, Florida. The purpose of the contract is to support mission accomplishment by providing a comfortable working environment and safe, well-maintained buildings for occupants, users, and visitors to JIATFS.
The duties and requirements for the proper maintenance and repair of JIATFS facility infrastructure include power generation maintenance and repair, Uninterrupted Power Supply (UPS), HVAC maintenance and repair, electrical maintenance and repair, air conditioning, and fire detection and monitoring systems. 
The Contractor shall perform preventive maintenance (PM) and repairs of buildings and structures, real property, and equipment within the JIATFS perimeter (rock line) that are not covered by warranty or maintenance agreements. The contractor shall develop and maintain a written PM plan and schedule that will include a listing of all items and components to be maintained along with inspection, maintenance and shutdown schedules.",0
Attachment_A_-_NOAALink_PWS_v2.1_Draft,"Custodial services include, but are not limited to:

All labor, management, supervision, tools, materials, supplies, equipment, and transportation required to perform work that includes:
Emptying waste containers
Low area cleaning, special cleaning
High area cleaning
Interior window cleaning
Exterior window cleaning
Window blinds cleaning
Sweeping/dust mopping
Vacuuming carpets and rugs
Cleaning walk-off mats
Spray cleaning and buffing
Damp mopping
Waxing and buffing
Stripping and re-waxing
Rug and carpet deep cleaning
Restroom services
Perimeter services
Unscheduled cleaning
 Waste removal from buildings and service locations to collection points",0
National Marine Fisheries Service (NMFS) ,"The Department of Homeland Security (DHS), Transportation Security Administration (TSA), Office of Security Capabilities (OSC) has an ongoing requirement for TSA Systems Integration Facility (TSIF) Development Testing Support Services.

BACKGROUND

The Office of Security Capabilities (OSC) supports TSA's mission by providing security capabilities to the field. OSC continues to enhance the effectiveness and efficiency of our nation's transportation systems through the qualification and deployment of security capabilities that drive the global standard for security.

The TSA OSC previously awarded multiple IDIQs for Test and Evaluation Support Services (TESS) to two (2) awardees: TASC, Inc. (HSTS0410DST3065) and Battelle Memorial Institute (HSTS0410DST3066). Battelle is providing the TSIF Testing Support Services.

The government competed the follow-on under three separate TESS acquisitions for TSA OSC: 

Acceptance Testing Opp ID 95724;
Development Testing (this Opportunity); and 
Operational Testing (Opp ID 112396).  
The TSIF Test program is responsible for planning and executing technical testing and other data collection events in order to provide credible data and information regarding the extent to which Transportation Security Equipment (TSE) meets TSA's mission requirements and needs.

The TSIF Test program is housed within the Office of Security Capabilities (OSC). The Transportation Security Administration (TSA) Systems Integration Facility (TSIF) is a 128,000 square foot test facility located at Reagan National Airport in Arlington, VA. The TSIF enables OSC to evaluate transportation security systems, support infrastructure, and mission profiles in a controlled environment.

The TSIF Test Program supports APM's mission and goals by planning and executing technical testing and other data collection events in order to provide credible data and information regarding the extent to which Transportation Security Equipment (TSE) meets TSA’s mission requirements and needs. 

The TSIF enables AAPM to evaluate transportation security systems, support infrastructure, and mission profiles in a controlled environment. 

The TSIF laboratory test areas include: 

Checked baggage screening laboratories consisting of: 
Two baggage handling systems capable of integrating nine (9) checked baggage screening systems. 
A “stand-alone” checked baggage screening systems area 
Passenger screening laboratory
Cargo detection system screening area
Explosives Trace Detection (ETD) laboratory
Test Article Preparation area hosting a variety of manufacturing equipment and tools 
A Modeling and Simulation Laboratory
The primary area of responsibility of the TSIF Test Program is to design and execute Developmental Tests (DT) and Qualification Tests (QT) to verify whether a product, service or system complies with regulations, policies, requirements, specifications, or constraints of the TSA and operating environment.

The TSIF test program supports a wide variety of TSA customers. Efforts range from small scale tests, demonstrations, and tours to elaborate comparative performance tests. Examples of such activities include validation of training packages, standard operating procedure development, and validation, and hosting technical information exchanges. The comparative performance tests generally involve a statistically sound experimental design to compare baseline processes/systems against alternatives.

PREVIOUS REQUIREMENTS
The Contractor will be responsible for establishing the as-tested developmental configuration baseline for candidate procurement and developmental systems under test to the appropriate level of detail to document the performance, functional, and physical attributes commensurate with the complexity of both the systems and requirements
The successful Contractor shall review technical documentation and participate in discussions with various stakeholders and the equipment manufacturers to understand the functional and physical characteristics of systems and to advise the government test leads on those items that should be designated as configuration items
This includes hardware, software, firmware, and configurable settings associated with the complex equipment
The Contractor shall be responsible for conducting configuration audits in support of the test program
The support Contractor will be required to support the laboratory operations including:
Administration of TSIF’s Quality Management System (QMS) including maintenance of the ISO Certified Test and Evaluation, Configuration Management, and Test Infrastructure and Operations processes
Compliance with TSIF’s Institutional Review Board (IRB) approved protocol for use of human subjects; additionally, the contractor will provide administrative support to ensure the IRB approval is maintained and protocol changes are coordinated through the IRB
Create, document, and maintain test articles (filled luggage, targets, etc.) for use at the TSIF as well as supporting the Operational Test Section; act as the logistics point for shipping and return of test articles used in operational testing
Testing and Laboratory Support
Passenger Screening Test Events
Advanced Imaging Technology (AIT)
Advanced Technology 2 (AT2)
Credential Authentication Technology (CAT) & Boarding Pass Scanner (BPS)
Explosive Trace Detection (ETD) System
Bottled Liquids Scanner (BLS) Systems and Liquid Explosives Detection Systems (LEDS) systems
Behavior Detection Technologies
Checked Baggage Test Events
Explosive Detection System
Security Technology Integrated Program (STIP) Security Equipment Modernization (SEM)
Cargo, Intermodal, and Multipurpose Area Activities
ETD Laboratory Test Events
Test Execution Surge Support
Test Articles Development, Maintenance, and Support
Test Article/Test Kit Development Space
Checkpoint Test Articles
Checked Bag Test Articles
TSE Test Article/Test Kit Database
Specialized Test Articles
 ",0
AEC FY20 P1090 MARINE EXPEDITIONARY FORCE CONSOLIDATED INFORMATION CENTER (P1090),"The Department of the Navy, Naval Facilities Engineering Command, NAVFAC Washington, PWD NDW South, has a project for NMIC-1 Refurbish Cafeteria Dining Area at National Maritime Intelligence Center, Suitland, MD.

REQUIREMENTS
The contractor shall provide services to meet the following:

BASE: The contractor shall coordinate locations of audio visual equipment with end user and design and install power and communications infrastructure to support new audio visual system. See the Request for Proposal’s (RFP) “Attachment 1” for – New Equipment List?Preferred.

OPTION: Remove existing Audio Video reproduction system in the ONI ?Cafeteria Purchase and install an Audio reproduction system for ONI N4?2 (Multimedia Operations). This includes but not limited to professional grade audio ceiling tile speakers (46), rackmountable audio mixers (2), audio amplifiers (3), EQ’s (3), CD player (1) and Blu?Ray DVD player (1) including all cabling to establish continuity to passive and active devices for a complete audio system. Purchase and install? 86 inch LED Commercial Displays for News Broadcasts (signal provided by GFE). Install AC power Duplex and inner duct with pull string access up to ceiling in 10 locations for future digital signage system displays. 

",0
Geodetic,"The Contractor shall provide all management, tools, equipment, transportation and labor necessary to ensure that custodial services are performed at the Medical Facility at RAF Croughton in support of U.S. Visiting Forces located in the United Kingdom. The services to be performed in a manner that will maintain a satisfactory facility condition in a safe and sanitary environment and present a clean, neat and professional appearance. The Contractor is encouraged and expected to use innovative approaches to efficiently and effectively accomplish the requirements of this PWS. All work performed by the Contractor shall be performed in accordance with all applicable laws, regulations, HQ AF standards, instructions, and best commercial practices, and as set forth by United Kingdom law, regulation, and legislation. Supplies and equipment shall meet the required specification and comply with United States Public Health Service standards and or comparable compliance with United Kingdom standards to ensure that the services produce an acceptable quality of cleanliness. Materials and cleaning techniques used when cleaning all floor surfaces shall be in accordance with the manufacturer’s recommendations or commercial/ industrial standards. ",0
NWS_AWIPS,"The Department of the Air Force, Air Force Global Strike Command, 341st Mission Wing, 341st Mission Support Group, 341st Civil Engineer Squadron has a requirement for Repair Fire Alarms Building 500.

REQUIREMENTS
This requirement is to replace building 500's fire alarm, replacement of all exterior windows and doors with blast resistant units compliant with Anti-Terrorism/Force Protection (AT/FP) standards, and the required associated structural improvements and interior/exterior work needed for their installation.

It also includes the replacement of the gutter and downspout systems, new interior finishes such as painting, flooring, counter tops and accessories, cabinetry, and upgrades to the mechanical, electrical, and fire alarm/notification systems as stated in the statement of work and its amendment.",0
to004 pmel,"The Contractor shall maintain Improved, Semi-Improved Grounds and Unimproved Grounds
The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, quality control, and other items and non-personal services necessary to perform grounds maintenance at Fort Rucker, Alabama and surrounding areas.",0
The Navy Office of Information (CHINFO),"The Department of Veterans Affairs, Network Contracting Office 10 has a requirement for construction services to upgrade Building Management System at the Northern IN VA Healthcare System.

REQUIREMENTS
The Contractor shallInstall the current revision of EcoStruxure Building Operation Software from Schneider Electric and convert the graphics from Java to HTML 5. The HVAC equipment in the Marion and the Ft. Wayne campus shall communicate with the Server System located in the Marion Building 124
The Contractor shall upgrade the existing software to the EcoStruxure Building Operation Software from Schneider Electric. The graphics shall be converted to HTML 5 and remove the existing Java based graphics from the Server. The sequences of operation are to remain consistent with existing system sequence. All equipment that is similar in operation should have consistent nomenclature with in graphics and operate in the same sequence of operation. For example: (0%-100% open closed, thermostat/local, BMS/computer. These repairs will require programing changes to be accomplished). (i.e: all the air handlers, with steam valves need to all say either 0-100 open or 0-100 closed not a mixture, same with dampers, ect.)",0
AEC EMIGRANT CREEK INTERAGENCY FIRE BUILDING,"The Department of the Navy, Naval Facilities Engineering Command, NAVFAC Mid-Atlantic, has a requirement for Base Wide Chiller Replacement.

REQUIREMENTS
The Contractor shall replace chillers at the following facilities:

Bldg. 309: Current chiller 85 tons, @208v. Replace with 87 ton Scroll.
Bldg. AS4030: Current chiller 55 tons, @230v Replace with 57 ton Scroll.
Bldg. HP127: Current chiller 120tons, @460v Replace with 131 ton Scroll.
Bldg. HP305: Current chillers Units 2 x- 110tons, @460v Replace with 2, 118 ton Scroll.
Bldg. HP550: Current chiller 80tons, @208v Replace with 87 ton Scroll.
Bldg. WC140: Current chiller Needs 100tons, @208v Replace with 108ton Scroll.
Bldg. FC530: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. FC555: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. FC560: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. FC565: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. HP170: Current chiller Units x 2- 120tons, @460v Replace with single 131 ton Scroll.
Bldg. HP210: Current chiller Units X 3- 110tons, @460v Replace with 2 100 ton Scroll.
Bldg. HP267: Current chiller Units x 3- 100tons, @460v Replace with 2 100 Scrolls
Bldg. HP140: Current chiller 250tons, @460v Replace with 2 100 ton scrolls
Bldg. HP56: Current chiller 120tons, @460v Replace with 118 ton Scroll",0
MEDICAL FACILITY CUSTODIAL SERVICES FOR RAF CROUGHTON,"The Department of Veterans Affairs, Network Contracting Office 2 may have a requirement for construction services for Building 5 Renovations, Project# 528A4-20-204 at the Batavia VA Medical Center.

REQUIREMENTS
This project shall be developed in three (3) total phases. Phases 1 and 2 shall be completed concurrently in construction to prepare to vacate the staff and inpatients in Building 5 to be renovated during Phase 3. 
The contractor shall completely demo the entire building down to the structural systems of building 5 for the basement through 3rd floor. Renovate to new current VA standards for clinical support and VA living quarters for the Veterans. Currently the men s PTSD program shares rooms with other Veterans. The women s living quarters were build brand new and each woman has their own bedroom / bathroom and the VA would like to give the men the same standard of living that the women currently have
The Building 5 renovations has the intent of delivering the following conditions including but NOT limited to;
Sleeping rooms with either private or semi-private (Jack and Jill) bathrooms for the men.
Approximately 17 private offices for clinical private sessions between counselor and the Veteran.
Group rooms for Group therapy.
Renovated Dining Hall and Kitchen with updated cooking facilities. The kitchen stove must be protected with an Ansul fire protection system.
Space for TV and other leisure activity such as pool or ping pong for the Veterans
Updated HVAC systems (the space is currently not Air Conditioned, and it is very hot in the summer).",0
to007 nws opg,"The Department's of Housing and Urban Development may have a continuing requirement for support services to operate and maintain the Single Family Insurance Operations Divisions (SFIOD) Support Service Center (SSC).

BACKGROUND
SFIOD is responsible for providing telephone assistance and information services via SFIOD systems to homeowners, lenders, the general public, Home Ownership Centers (HOC) and other government organizations. The SFIOD Systems used are the Single Family Insurance System (SFIS/A43), Distributive Shares & Refunds Subsystem (DSRS/A80D) and the Single Family Premium Collections Subsystem-Upfront (SFPCS-U/A80R). It is necessary for staff to be bi-lingual, proficient in both English and Spanish languages.

When the information submitted by the lender does not match the information in HUDs database due to a mismatch in name, address, etc., an automatic system payment is not issued. It is then necessary for clarification of any discrepancies to be addressed by homeowner(s). During this process, a HUD-27050-B is automatically mailed to the last known mailing address of the homeowner. The homeowner is required to provide the Department with the necessary information in the form of tangible evidence to address these discrepancies and to ensure proper payment of the refund.

A Sample User Guide will be provided to the awardee. The homeowner is instructed to verify that the property address is correct and returns to the known addressee, a completed form, proof of ownership, showing ownership percentage, and any other additional supporting documentation needed. It is required that the homeowner’s signature be notarized and withal supporting documentation be returned to HUD. Once received at HUD, this information is reviewed and entered into HUDs database.

PREVIOUS REQUIREMENTS
HUD seeks a Contractor who shall provide customer service support in a call center environment to operate and maintain the Single Family Insurance Operations Divisions (SFIOD) Support Service Center (SSC)
The Contractor is responsible for ensuring that two (2) employees are bilingual in English and Spanish. They must be proficient in each language and be able to read, write and speak both languages fluently
All employees will be responsible for the handling of sensitive documents, the Contractor must notify the Contracting Officer, in writing, prior to the performance of this contract, proof that minimum background checks and drug testing were conducted prior to the hiring of staff and all subsequently hired staff received clearances (See HUDAR Clause 2452.237-75, Clearance of Personnel). All staff, who will need access to HUD documents or data, including key personnel must have a current U.S. Government background investigation and completed a Standard Form 85P “Questionnaire for Public Trust Positions. The contractor must also provide to the Contracting Officer a written notice of terminated employees within 14 days of termination. A written notification also is required for newly hired staff including proof of background check and drug testing
The Contractor is required to provide a Physical Security Plan that details and outlines the plan of action to ensure that all sensitive documents are secured 24/7",0
Gold,"The Contractor shall provide all management, tools, equipment, transportation and labor necessary to ensure that custodial services are performed at the Medical Facility at RAF Alconbury in support of U.S. Visiting Forces located in the United Kingdom.  The services to be performed in a manner that will maintain a satisfactory facility condition in a safe and sanitary environment and present a clean, neat and professional appearance. The Contractor is encouraged and expected to use innovative approaches to efficiently and effectively accomplish the requirements of this PWS. All work performed by the Contractor shall be performed in accordance with all applicable laws, regulations, HQ AF standards, instructions, and best commercial practices, and as set forth by United Kingdom law, regulation, and legislation.  Supplies and equipment shall meet the required specification and comply with United States Public Health Service standards and or comparable compliance with United Kingdom standards to ensure that the services produce an acceptable quality of cleanliness. Materials and cleaning techniques used when cleaning all floor surfaces shall be in accordance with the manufacturer’s recommendations or commercial/ industrial standards. ",0
