Contract name,Contract description,Polarity
National Marine Fisheries Service (NMFS) ,"The Department of Homeland Security (DHS), Transportation Security Administration (TSA), Office of Security Capabilities (OSC) has an ongoing requirement for TSA Systems Integration Facility (TSIF) Development Testing Support Services.

BACKGROUND

The Office of Security Capabilities (OSC) supports TSA's mission by providing security capabilities to the field. OSC continues to enhance the effectiveness and efficiency of our nation's transportation systems through the qualification and deployment of security capabilities that drive the global standard for security.

The TSA OSC previously awarded multiple IDIQs for Test and Evaluation Support Services (TESS) to two (2) awardees: TASC, Inc. (HSTS0410DST3065) and Battelle Memorial Institute (HSTS0410DST3066). Battelle is providing the TSIF Testing Support Services.

The government competed the follow-on under three separate TESS acquisitions for TSA OSC: 

Acceptance Testing Opp ID 95724;
Development Testing (this Opportunity); and 
Operational Testing (Opp ID 112396).  
The TSIF Test program is responsible for planning and executing technical testing and other data collection events in order to provide credible data and information regarding the extent to which Transportation Security Equipment (TSE) meets TSA's mission requirements and needs.

The TSIF Test program is housed within the Office of Security Capabilities (OSC). The Transportation Security Administration (TSA) Systems Integration Facility (TSIF) is a 128,000 square foot test facility located at Reagan National Airport in Arlington, VA. The TSIF enables OSC to evaluate transportation security systems, support infrastructure, and mission profiles in a controlled environment.

The TSIF Test Program supports APM's mission and goals by planning and executing technical testing and other data collection events in order to provide credible data and information regarding the extent to which Transportation Security Equipment (TSE) meets TSA’s mission requirements and needs. 

The TSIF enables AAPM to evaluate transportation security systems, support infrastructure, and mission profiles in a controlled environment. 

The TSIF laboratory test areas include: 

Checked baggage screening laboratories consisting of: 
Two baggage handling systems capable of integrating nine (9) checked baggage screening systems. 
A “stand-alone” checked baggage screening systems area 
Passenger screening laboratory
Cargo detection system screening area
Explosives Trace Detection (ETD) laboratory
Test Article Preparation area hosting a variety of manufacturing equipment and tools 
A Modeling and Simulation Laboratory
The primary area of responsibility of the TSIF Test Program is to design and execute Developmental Tests (DT) and Qualification Tests (QT) to verify whether a product, service or system complies with regulations, policies, requirements, specifications, or constraints of the TSA and operating environment.

The TSIF test program supports a wide variety of TSA customers. Efforts range from small scale tests, demonstrations, and tours to elaborate comparative performance tests. Examples of such activities include validation of training packages, standard operating procedure development, and validation, and hosting technical information exchanges. The comparative performance tests generally involve a statistically sound experimental design to compare baseline processes/systems against alternatives.

PREVIOUS REQUIREMENTS
The Contractor will be responsible for establishing the as-tested developmental configuration baseline for candidate procurement and developmental systems under test to the appropriate level of detail to document the performance, functional, and physical attributes commensurate with the complexity of both the systems and requirements
The successful Contractor shall review technical documentation and participate in discussions with various stakeholders and the equipment manufacturers to understand the functional and physical characteristics of systems and to advise the government test leads on those items that should be designated as configuration items
This includes hardware, software, firmware, and configurable settings associated with the complex equipment
The Contractor shall be responsible for conducting configuration audits in support of the test program
The support Contractor will be required to support the laboratory operations including:
Administration of TSIF’s Quality Management System (QMS) including maintenance of the ISO Certified Test and Evaluation, Configuration Management, and Test Infrastructure and Operations processes
Compliance with TSIF’s Institutional Review Board (IRB) approved protocol for use of human subjects; additionally, the contractor will provide administrative support to ensure the IRB approval is maintained and protocol changes are coordinated through the IRB
Create, document, and maintain test articles (filled luggage, targets, etc.) for use at the TSIF as well as supporting the Operational Test Section; act as the logistics point for shipping and return of test articles used in operational testing
Testing and Laboratory Support
Passenger Screening Test Events
Advanced Imaging Technology (AIT)
Advanced Technology 2 (AT2)
Credential Authentication Technology (CAT) & Boarding Pass Scanner (BPS)
Explosive Trace Detection (ETD) System
Bottled Liquids Scanner (BLS) Systems and Liquid Explosives Detection Systems (LEDS) systems
Behavior Detection Technologies
Checked Baggage Test Events
Explosive Detection System
Security Technology Integrated Program (STIP) Security Equipment Modernization (SEM)
Cargo, Intermodal, and Multipurpose Area Activities
ETD Laboratory Test Events
Test Execution Surge Support
Test Articles Development, Maintenance, and Support
Test Article/Test Kit Development Space
Checkpoint Test Articles
Checked Bag Test Articles
TSE Test Article/Test Kit Database
Specialized Test Articles
 ",0
AEC FY20 P1090 MARINE EXPEDITIONARY FORCE CONSOLIDATED INFORMATION CENTER (P1090),"The Department of the Navy, Naval Facilities Engineering Command, NAVFAC Washington, PWD NDW South, has a project for NMIC-1 Refurbish Cafeteria Dining Area at National Maritime Intelligence Center, Suitland, MD.

REQUIREMENTS
The contractor shall provide services to meet the following:

BASE: The contractor shall coordinate locations of audio visual equipment with end user and design and install power and communications infrastructure to support new audio visual system. See the Request for Proposal’s (RFP) “Attachment 1” for – New Equipment List?Preferred.

OPTION: Remove existing Audio Video reproduction system in the ONI ?Cafeteria Purchase and install an Audio reproduction system for ONI N4?2 (Multimedia Operations). This includes but not limited to professional grade audio ceiling tile speakers (46), rackmountable audio mixers (2), audio amplifiers (3), EQ’s (3), CD player (1) and Blu?Ray DVD player (1) including all cabling to establish continuity to passive and active devices for a complete audio system. Purchase and install? 86 inch LED Commercial Displays for News Broadcasts (signal provided by GFE). Install AC power Duplex and inner duct with pull string access up to ceiling in 10 locations for future digital signage system displays. 

",0
AEC AE SERVICES FOR BOILER REPLACEMENET PHOENIX VA HEALTH CARE SYSTEM,"IT Security Specialist II
Zhifa Liu (Key)  Programmer Analyst V
Trey Honeycutt Project Manager I
Eric Daniels IT/Computer Specialist II
Jason Hartman System Administrator I
Catherine Polk Web Designer/Developer II
Jyothi Sankuri Web Designer/ Developer II
Kristin Chader-Bostic Web Designer/Developer III
Krik Yedinak Web Designer/Developer IV
Jason Decker Help Desk Specialist III
Deane Lanier Help Desk Specialist III
Daniel Barton Systems Administrator I
Support continued use of a Cloud and/or centralized government hosted solution as an alternative to existing in-house supported or stand-alone technologies. Team RIVA currently works with both NWS and NESDIS developing a Cloud Computing Platform that supports various virtualization needs, from Virtual Desktop Imaging (VDI), to cloud migration, managed services, and Cloud Service Provider (CSPs) implementation and transition. NCCOS is currently using Microsoft Azure and is using its services (Infrastructure as a Service (IaaS), PaaS, Software as a Service (SaaS)) in support of NCCOS modernization efforts and we will be establishing a phased approach to cloud transitions minimizes impact to current services and maintains nominal operations state as we roll out more cloud services.

Team RIVA works with NCCOS to establish a security and identity strategy first. Perform an on-premise system cloud candidate analysis, resources assessment (incumbent staff) and enterprise readiness assessment to establish a system baseline (staff, computing, processing and storage); identify potential services and issues that could impact cloud services (Storage performance, NOAA policies, NOAA network infrastructure, routing, Internet Protocol (IP) network address conflicts, etc.). Develop an optimal cloud design and procedures (subscription and resource management) to migrate and operate cloud services. Establish a project plan (scope, schedule, risks and cost) to migrate to servers/service to the cloud. Establish performance measures to provide progress during migration and beyond. We acknowledge that a primary element of cloud hosted services is architecture. We propose the use of a cloud architect with hands-on experience with Microsoft Azure to assist throughout all phases of this project.

Benefits: Support of DCOIi, Cloud First initiatives, minimize Operating Expenses (OPEX), maintain an actual and accurate IT cost spending, Leverage new cloud services as the NCCOS Roadmap evolves.
Support IT solutions and services are capable of sufficient capacity and flexibility to handle unexpected enterprise requirements.
 Team RIVA’s NOS/ agile approach is structured to support program/ project management, planning, design, implementation, service /network/ security management and monitoring. Our solutions architect and PM works with the NCCOS Task Manager (TM) and key stakeholders to provide design and architectural support. Our team is ITILv3 trained allowing for holistic understanding of the business processes in this requirement. Our approach encourages a robust, reliable, flexible, secure, controlled infrastructure in support of the entire NCCOS architecture and its services. Capacity and Demand management business processes are embedded throughout our core service model. This allows us to proactively monitor services Service Level Agreements (SLAs) and technology, capabilities and capacity (network throughput, storage capacity, performance, and resources) in order to meet current and future demands - to include common shared services.

Benefit: Maintain services at optimal state, meet customer demand, and Allow access to Team RIVA Operational Dashboards to track Acceptable Quality Levels AQL/SLAs.
Computational Science & Statistical Modeling The task objective area, (Computation Science) focuses on Compute Model /HPC capability for models and simulations and running parallel models and this objective area is expected to grow significantly in adoption.
IT Infrastructure, Network and System Support Empower contractor staff to take Cloud relevant training and obtain certifications such as Microsoft MCSA Cloud certifications as well as attend relevant conferences to ensure our staff can leverage modern and innovative approaches to technical challenges
IT Security Support Conduct IT Security related tasks in a proactive fashion by planning for FedRAMP, A&A activities including Business Impact Analysis (BIA) and leverage the Microsoft Azure Security Center to track security related metrics.
Desktop and End-User Support Possesses the in-depth knowledge, skills, and experience supporting a customer and IT environment focused on delivering outstanding customer service and progressive IT transformation based on quantifiable metrics, emerging technologies, and best practices. Enable a virtual Service Desk Concept of operations by having anyone at any location with ability to execute any task
IT Infrastructure, Network and System Is experienced in working collaboratively/seamlessly with enterprise service providers (NOS, NWAVE, etc.) and stakeholders and across geographically dispersed locations to provide cohesive and comprehensive IT support services and solutions
Applies to all Standardizes and automates services and solutions to strengthen reliability, scalability, consistency, and security; follows and updates proven frameworks, processes, and SOP based on industry standards (e.g., ITIL, PMBOK, Agile, NIST, etc.); helps reduce the IT footprint and leverage enterprise tools and services
Applies to all Provides a talented and experienced workforce with intimate knowledge of the IT support services environment and enhances their skills through training and professional certifications and foster communication between the team regardless of location.
",1
SMRC_Volume 1 Business Solution_NCNA2400-17-00792,"1.02 Objectives: The overall objective of this task is to obtain contractor support to supplement the specialized CHPS support â€œhelp
deskâ€ functions performed by the Hydrology Support Group (HSG) in the Office of Central Processing (OCP) Field Support and
Infrastructure Team (FSIT). The HSG provides Tier 1 and Tier 2 support for the CHPS operations at RFCs. The contract staff works
alongside the federal HSG members, and the specific task requirements are provided by the HSG staff. Historically, the full CHPS
support has been handled by a team consisting of 2-3 federal employees supplemented by (2) contract employees. Significant
coordination between HSG staff and the RFCs and other support providers within the NWS enterprise is required, using verbal and
written forms of communication, in order to effectively provide the customer support.
The contractor provides technical support to ensure the operational performance and integrity of CHPS. This support includes the
following objectives:
1) Provide specialized â€œhelp-deskâ€ technical support whereby operational problems, issues, and questions are presented to the
contractor for resolution. Support will be provided in the form of problem tracking, problem analysis, and ultimately
problem resolution for CHPS issues (a.k.a. â€œticketsâ€ or â€œcasesâ€) reported by the RFCs. This support can be provided by
action taken on an RFC computer system, direct communication to RFC staff, or advice and instructions which address the
reported problem. Communication may include direct phone conversations, e-mail, or software documentation. The â€œhelpdeskâ€
problem resolution typically involves relatively specific issues reported with CHPS which often require prompt
attention.
2) Provide technical support for NWS projects associated with CHPS. This can include projects related to the CHPS software
system environment, the CHPS hardware configuration, or the hydrometeorologic functions embodied within CHPS. The
project support typically involves more general needs of the CHPS operations, and generally do not require immediate
attention. These project outcomes result in more stable, more efficient operation of CHPS at RFCs.
3) Provide technical guidance (written and verbal), training, and coordination of operational functions in a pro-active manner,
including monitoring and preventative maintenance of systems executing the CHPS software suite. Collectively, these
activities result in a support enterprise that promotes a high level of competence for operational readiness, competence, and
awareness among RFC users of CHPS.
These objectives comprise part of and are consistent with the formal operating plan goal of the NWS to â€œProvide 24 x 7 support to
address operational issues related to AWIPS and CHPS hydrologic software at 13 RFCs and 122 WFOsâ€. The end result of the
completed objectives is the stable and functional operation of the NWS RFC river forecasting services provided by CHPS. This
operation allows formal NWS products to be issued and NWS services to be provided to the other NWS offices, the public, and the nationâ€™s water resource enterprise. Note that this task does not involve direct support for NWS WFOs (Weather Forecast Office),
which execute AWIPS, but do execute CHPS.",1
Geodetic,"The Contractor shall provide all management, tools, equipment, transportation and labor necessary to ensure that custodial services are performed at the Medical Facility at RAF Croughton in support of U.S. Visiting Forces located in the United Kingdom. The services to be performed in a manner that will maintain a satisfactory facility condition in a safe and sanitary environment and present a clean, neat and professional appearance. The Contractor is encouraged and expected to use innovative approaches to efficiently and effectively accomplish the requirements of this PWS. All work performed by the Contractor shall be performed in accordance with all applicable laws, regulations, HQ AF standards, instructions, and best commercial practices, and as set forth by United Kingdom law, regulation, and legislation. Supplies and equipment shall meet the required specification and comply with United States Public Health Service standards and or comparable compliance with United Kingdom standards to ensure that the services produce an acceptable quality of cleanliness. Materials and cleaning techniques used when cleaning all floor surfaces shall be in accordance with the manufacturer’s recommendations or commercial/ industrial standards. ",0
NWS_AWIPS,"The Department of the Air Force, Air Force Global Strike Command, 341st Mission Wing, 341st Mission Support Group, 341st Civil Engineer Squadron has a requirement for Repair Fire Alarms Building 500.

REQUIREMENTS
This requirement is to replace building 500's fire alarm, replacement of all exterior windows and doors with blast resistant units compliant with Anti-Terrorism/Force Protection (AT/FP) standards, and the required associated structural improvements and interior/exterior work needed for their installation.

It also includes the replacement of the gutter and downspout systems, new interior finishes such as painting, flooring, counter tops and accessories, cabinetry, and upgrades to the mechanical, electrical, and fire alarm/notification systems as stated in the statement of work and its amendment.",0
to004 pmel,"The Contractor shall maintain Improved, Semi-Improved Grounds and Unimproved Grounds
The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, quality control, and other items and non-personal services necessary to perform grounds maintenance at Fort Rucker, Alabama and surrounding areas.",0
The Navy Office of Information (CHINFO),"The Department of Veterans Affairs, Network Contracting Office 10 has a requirement for construction services to upgrade Building Management System at the Northern IN VA Healthcare System.

REQUIREMENTS
The Contractor shallInstall the current revision of EcoStruxure Building Operation Software from Schneider Electric and convert the graphics from Java to HTML 5. The HVAC equipment in the Marion and the Ft. Wayne campus shall communicate with the Server System located in the Marion Building 124
The Contractor shall upgrade the existing software to the EcoStruxure Building Operation Software from Schneider Electric. The graphics shall be converted to HTML 5 and remove the existing Java based graphics from the Server. The sequences of operation are to remain consistent with existing system sequence. All equipment that is similar in operation should have consistent nomenclature with in graphics and operate in the same sequence of operation. For example: (0%-100% open closed, thermostat/local, BMS/computer. These repairs will require programing changes to be accomplished). (i.e: all the air handlers, with steam valves need to all say either 0-100 open or 0-100 closed not a mixture, same with dampers, ect.)",0
AEC EMIGRANT CREEK INTERAGENCY FIRE BUILDING,"The Department of the Navy, Naval Facilities Engineering Command, NAVFAC Mid-Atlantic, has a requirement for Base Wide Chiller Replacement.

REQUIREMENTS
The Contractor shall replace chillers at the following facilities:

Bldg. 309: Current chiller 85 tons, @208v. Replace with 87 ton Scroll.
Bldg. AS4030: Current chiller 55 tons, @230v Replace with 57 ton Scroll.
Bldg. HP127: Current chiller 120tons, @460v Replace with 131 ton Scroll.
Bldg. HP305: Current chillers Units 2 x- 110tons, @460v Replace with 2, 118 ton Scroll.
Bldg. HP550: Current chiller 80tons, @208v Replace with 87 ton Scroll.
Bldg. WC140: Current chiller Needs 100tons, @208v Replace with 108ton Scroll.
Bldg. FC530: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. FC555: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. FC560: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. FC565: Current chiller 65 tons, @208v Replace with 67 ton Scroll.
Bldg. HP170: Current chiller Units x 2- 120tons, @460v Replace with single 131 ton Scroll.
Bldg. HP210: Current chiller Units X 3- 110tons, @460v Replace with 2 100 ton Scroll.
Bldg. HP267: Current chiller Units x 3- 100tons, @460v Replace with 2 100 Scrolls
Bldg. HP140: Current chiller 250tons, @460v Replace with 2 100 ton scrolls
Bldg. HP56: Current chiller 120tons, @460v Replace with 118 ton Scroll",0
SMRC_Volume 1 Business Solution_NCNA2400-17-00792,"Mature, DoD-experienced IT Partner Our IT Division monitors developments that affect the Federal space and NOAA in particular, with special expertise in agile development methodology, cyber security, and cloud technology. We leverage Agile approaches and ties these constructs to tools such as our customer’s technology stack. We implement best practice, provided access to trending technology, and deliver on our promise of collaboration, flexibility, transparency, and a customer- focused partnership that ensures user engagement throughout the process. Expertise in Emerging Areas and Technologies RIVA strives to stay ahead of the latest innovations in IT management and software development (e.g., Agile, DevOps, Cyber, ITSM) and emerging areas such as Platform as a Service (PaaS), cloud migration, mobility, cybersecurity, and our partnership with Amazon Web Services (AWS) as well as our Microsoft Azure partnership This expertise ensures our solutions are on the cutting edge of technology and best practices and that we can apply new FedRamp approved cloud offerings to solve real-world NOAA challenges.. Best Practices RIVA follows and is certified in industry best practices including CMMI, ITIL, and ISO 90001:2008, 20000, and 27001, and prioritizes certifications such as PMBOK/PMP and CISSP. Ensures compliance with NOAA IT directives and allows us to find efficiencies where we can. • The contractor shall define a software development approach appropriate for the computer software development and integration effort to be performed IAW the SOW.
• The SDP shall describe the contractor's software development and quality processes. These processes should be based on the contractor's tailoring of internally-developed standard processes used on previous DOD programs, standard commercial processes, and wholly new processes. Software processes documented in the SDP.
o The SDP shall describe the contractor's software development and quality processes. These processes should be based on the contractor's tailoring of internally-developed standard processes used on previous DOD programs, standard commercial processes, and wholly new processes. Software processes documented in the SDP.
o The contractor shall comply with the requirements of the SDP for all computer software to be developed, integrated, or maintained under this effort. The SDP shall identify the required software and the developers or suppliers of the software, and shall define the offeror‘s proposed software development processes, the activities to be performed as a part of the processes, the tasks which support the activities, and the techniques and tools to be used to perform the tasks. Note: The Government at its discretion may place the SDP on contract. Refer to Appendix I for suggested SDP content.

– In addition to aligning our processes to a standard Waterfall methodology, we propose to expand the use of Agile Scrum-based processes into our development methodology. Working with the Federal Web App Team lead, we will work to adopt iterative sprints that rapidly adapt to change rather than predicting unanticipated change, thereby focusing on customer satisfaction through quick and cyclic delivery of production-ready software components. Utilizing this methodology, software specifications are derived from established user stories, and as development sprints are completed, we perform code reviews, testing, and Independent Validation and Verification (IV&V) to facilitate deployment into the production environment. Some of the benefits of an agile approach are:
 Production ready software that provides business value to system users as rapidly as possible.
 Clear requirements from meetings between government stakeholders and RIVA project staff
 Reprioritization of functional and non-functional requirements within each sprint cycle, reducing associated rework costs by aligning iterative releases with user stories and needs
 Adapt quickly to frequent or significant changes in projects while continuing to deliver
 Incorporation of emerging technologies into the solution.
Using an Agile-based development model, RIVA facilitates QC by considering relevant aspects of the development process, improving solution quality iteratively, documenting the system as it is developed, and being cognizant of compliance requirements such as existing TRMs, Service Level Architecture Guidelines, and security mandates. We perform work in two to four-week sprints. Each sprint begins with a Sprint Planning meeting to prioritize and assign product backlog items to the sprint backlog. We conduct daily Scrum Meetings or “stand ups” to discuss short term tasking and identify project obstacles to manage and escalate activities to the appropriate person. At the completion of each sprint, we conduct a Sprint Review meeting to demonstrate functionality that was developed and document stakeholder feedback for incorporation into the next sprint cycle. We hold Sprint Retrospective meetings to document lessons learned and adjust processes and procedures as needed.
Team RIVA understands that NCCOS has a centralized inventory and key attributes of applications, databases, and websites. As part of our support, we maintain and update this inventory to provide transparency into NCCOS systems and as requested and perform assessments of identified items within the inventory to provide guidance on future technological objectives. Some of these initiatives include feasibility assessments for migrating additional applications, data, and websites to cloud hosted solutions such as MS Azure; conducting security/risk assessments to reduce vulnerabilities and mitigate negative outcomes; performing technology obsolescence/refresh studies to identify future strategies; and addressing skill set gaps and other operational risks. We work with NCCOS scientists, product owners, and end users to implement and manage the initiatives for GIS software and support the development and maintenance of applications based upon spatially referenced data and digital mapping.
For feasibility, technology, and migration assessments, we prepare proposals for recommended solutions to remediate any issues known or identified. For new project requests, we assist NCCOS staff in evaluating the request, the current team skill sets, capabilities, and availability, and existing partnerships to identify the appropriate solution to meet the request. These requests are captured and tracked in a centralized product backlog and are identified as new development, enhancement, or defect/change request and is maintained using the NCCOS BMC TrackIt ticketing system and Google Drive products. Once the course of action has been reviewed and approved, our team supports the necessary design and development of the solution and works with the product owner to ensure mission goals and objectives are met. This includes supporting and facilitating NCCOS staff for Branch or Partner led development efforts to improve enterprise system performance and availability. Prior to deployment into the production environment, we work with NCCOS to conduct integration and functional testing and any major issues are addressed before migration and that we receive approval from the CCB. For existing applications, databases, and websites, we perform corrective and adaptive maintenance to ensure compliance with technology goals, security requirements, and NOS policy and standards.
Throughout the development process, we follow NOS Configuration Management processes and industry best practices to maintain proper version control for all development, test, and production version of software and systems to allow for traceability and proper support and installation of deployment packages. We manage software code repositories to maintain all development, test and production versions of software, applications, and websites. Software versioning (unique version names or numbers assigned to each unique state of software) is implemented as part of this process and kept in an official Git repository provided by the Government. In addition, we use the SSH protocol (also referred to as Secure Shell) for secure remote login from one computer to another. This protocol will be used to access government-controlled Git repositories and Git deployment of all application code from Git repositories to Azure webapps. We maintain strict SSL access control to all SQL and MySQL databases. We maintain and update system documentation based on changes in a content management system.
",1
MEDICAL FACILITY CUSTODIAL SERVICES FOR RAF CROUGHTON,"The Department of Veterans Affairs, Network Contracting Office 2 may have a requirement for construction services for Building 5 Renovations, Project# 528A4-20-204 at the Batavia VA Medical Center.

REQUIREMENTS
This project shall be developed in three (3) total phases. Phases 1 and 2 shall be completed concurrently in construction to prepare to vacate the staff and inpatients in Building 5 to be renovated during Phase 3. 
The contractor shall completely demo the entire building down to the structural systems of building 5 for the basement through 3rd floor. Renovate to new current VA standards for clinical support and VA living quarters for the Veterans. Currently the men s PTSD program shares rooms with other Veterans. The women s living quarters were build brand new and each woman has their own bedroom / bathroom and the VA would like to give the men the same standard of living that the women currently have
The Building 5 renovations has the intent of delivering the following conditions including but NOT limited to;
Sleeping rooms with either private or semi-private (Jack and Jill) bathrooms for the men.
Approximately 17 private offices for clinical private sessions between counselor and the Veteran.
Group rooms for Group therapy.
Renovated Dining Hall and Kitchen with updated cooking facilities. The kitchen stove must be protected with an Ansul fire protection system.
Space for TV and other leisure activity such as pool or ping pong for the Veterans
Updated HVAC systems (the space is currently not Air Conditioned, and it is very hot in the summer).",0
to009 pmel cg,"• Safeguarding cloud credentials
o Timely rotation of access credentials
o Leverage multi-factor authentication through VPN connection between NOAA site and Public cloud
• Restrict users to AWS resources
o Create different users and groups with different access privileges (policies) using AWS Identity and Access Management (IAM) features to restrict and allow access to specific AWS resources
o Continuously revisit and monitor IAM user policies
o Leverage the power of security groups in Amazon EC2
• Protect data by encrypting it at-rest (AES) and in-transit (SSL)
o Automate security policies
• Adopt a recovery strategy
o Create periodic EBS snapshots and RDS backups.
o Test backups using automated restore scripts
Senior Java (Oracle) Developer (Web Programmer IV) Salam Albu Hamzah • 15 years’ experience as Oracle and SQL Server developer for system development and implementation of Oracle 9i, 10g, 11g and SQL Server 2005 and 2008
• Experience with SQL*Plus, SQL Developer, PL/SQL Developer, Toad and SQL Server Management Studio
• Experience creating back-end, front-end management systems using PHP, JavaScript, HTML, CSS, XML
• Oracle PL/SQL Developer Certified Associate March 2012 to Present Oracle 11g SQL Certified July 2011 to Present
SharePoint Developer (Web Programmer IV) Latonnya Peterson • 8+ years’ experience with SharePoint administration
• Software: SharePoint 2010, SharePoint 2013, Office 365, JIRA tracking, Windows Server 2008 R2, Windows Server 2012 R2, , SharePoint Designer 2007/2010
• Manage permissions, enterprise content, security, and governance; Managed Metadata and monitored performance through SharePoint Central Administration
• Experience utilizing relational databases (Microsoft SQL Server) along with Structured Query Language (SQL) to create and/or maintain queries, routines, stored procedures.
Mid-Level Oracle Forms/ETL Developer (Web Designer/ Developer III) William T. Sheridan • More than 23 years as Oracle DBA, Developer, and Oracle Forms Developer, 41 years in the IT industry
• ORACLE: Enterprise Manager, Oracle E-Business Suite, Applications, Financials, HR, Manufacturing, Discoverer, Developer, Designer, Pro*C, SQL, PL/SQL, DBA, SOA, RAC, WebLogic Fusion MiddleWare, WebCenter, Portal, Forms, Reports, ADF, ODI, BI, Erwin, AutoVue, Golden Gate, ETL, RICEW, FNDLOAD, SQL*Loader, DataPump, TOAD, MySQL
Mid-Level Web Developer (Web Designer/Developer III) Steven Kubrak • Web developer with 22 years of experience in both front-end and back-end applications, and IT management
• Drupal Developer for NOAA Center for Climate Prediction; ESTful API's from Google Maps API, ESRI, and ARC GIS; GitLab, Google Aps Suite, Drush and JQuery
• Software/Languages:  HTML 4/5, ColdFusion 9-11/ColdFusion Server, CSS 3, SQL/SQL Server, JavaScript/jQuery, AJAX, Drupal 6-7, PHP, MySQL,MSSQL, ORACLE 9i, Adobe CS5, GIT, Eclipse, Bugzilla, Jira
Mid-Level Web Developer (Web Designer/Developer III) Samir Kello • 10+ years relevant experience as web developer, content administrator, and web specialist
• Windows Server, Linux, Mac OS X, Apache, IIS, Azure, AWS, PowerShell, TFS, TCP/IP, DNS, DHCP, RDP, VPN, Active Directory, Subnetting, SCCM, TrendMicro, Google Search Appliance
Senior Business/ Quality Assurance Analyst (QA Specialist III) Kulvinder B. Kaur • PMP-certified professional with 25+ years of industry experience, 19 years’ focus on Quality Assurance, Systems Analysis and Agile development
• Knowledge if SDLC, ISO-9001, SEI-CMMI processes.
• Fault injection, integration, Black Box and White Box, regression, IVR, 508 Compliance, API, REST, WebService and SaaS testing
Business/Quality Assurance Analyst (QA Specialist III) Mahmood Satter • 8 years’ experience in Quality Assurance, including Automated, Manual, Functional, and Performance testing of Web and Client Server applications on UNIX /Windows environment
• Experience defining detailed application software test plans, including organization, participants, schedule, test, and application coverage scope.
• Experience gathering and defining functional and user interface requirements
Communications Support Analyst (Media Specialist IV) Janeen Said • 21 years’ professional communications experience
• Program content support, research, analysis, and documentation.
• Keynote/PowerPoint, Microsoft Office Suite, Adobe Photo Shop, Dreamweaver, SharePoint, CyberRecruiter, Internet Research, SalesForce, Base Camp, Experience in Customer Service, Tier I level IT support (Mac and PC platforms)
Communications Support Analyst (Media Specialist IV) N. Victoria Ozokwelu • Communications professional with 10+ years in communications (internal/external); writing and editing; public affairs; local political journalism; integrated marketing and outreach
",1
to007 nws opg,"The Department's of Housing and Urban Development may have a continuing requirement for support services to operate and maintain the Single Family Insurance Operations Divisions (SFIOD) Support Service Center (SSC).

BACKGROUND
SFIOD is responsible for providing telephone assistance and information services via SFIOD systems to homeowners, lenders, the general public, Home Ownership Centers (HOC) and other government organizations. The SFIOD Systems used are the Single Family Insurance System (SFIS/A43), Distributive Shares & Refunds Subsystem (DSRS/A80D) and the Single Family Premium Collections Subsystem-Upfront (SFPCS-U/A80R). It is necessary for staff to be bi-lingual, proficient in both English and Spanish languages.

When the information submitted by the lender does not match the information in HUDs database due to a mismatch in name, address, etc., an automatic system payment is not issued. It is then necessary for clarification of any discrepancies to be addressed by homeowner(s). During this process, a HUD-27050-B is automatically mailed to the last known mailing address of the homeowner. The homeowner is required to provide the Department with the necessary information in the form of tangible evidence to address these discrepancies and to ensure proper payment of the refund.

A Sample User Guide will be provided to the awardee. The homeowner is instructed to verify that the property address is correct and returns to the known addressee, a completed form, proof of ownership, showing ownership percentage, and any other additional supporting documentation needed. It is required that the homeowner’s signature be notarized and withal supporting documentation be returned to HUD. Once received at HUD, this information is reviewed and entered into HUDs database.

PREVIOUS REQUIREMENTS
HUD seeks a Contractor who shall provide customer service support in a call center environment to operate and maintain the Single Family Insurance Operations Divisions (SFIOD) Support Service Center (SSC)
The Contractor is responsible for ensuring that two (2) employees are bilingual in English and Spanish. They must be proficient in each language and be able to read, write and speak both languages fluently
All employees will be responsible for the handling of sensitive documents, the Contractor must notify the Contracting Officer, in writing, prior to the performance of this contract, proof that minimum background checks and drug testing were conducted prior to the hiring of staff and all subsequently hired staff received clearances (See HUDAR Clause 2452.237-75, Clearance of Personnel). All staff, who will need access to HUD documents or data, including key personnel must have a current U.S. Government background investigation and completed a Standard Form 85P “Questionnaire for Public Trust Positions. The contractor must also provide to the Contracting Officer a written notice of terminated employees within 14 days of termination. A written notification also is required for newly hired staff including proof of background check and drug testing
The Contractor is required to provide a Physical Security Plan that details and outlines the plan of action to ensure that all sensitive documents are secured 24/7",0
